Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Tnnc2	troponin C2, fast [Source:MGI Symbol;Acc:MGI:98780]	21925	ENSMUSG00000017300.9
protein_coding	Mpp2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:MGI Symbol;Acc:MGI:1858257]	50997	ENSMUSG00000017314.12
protein_coding	Vtn	vitronectin [Source:MGI Symbol;Acc:MGI:98940]	22370	ENSMUSG00000017344.4
protein_coding	Nlk	nemo like kinase [Source:MGI Symbol;Acc:MGI:1201387]	18099	ENSMUSG00000017376.15
protein_coding	Traf4	TNF receptor associated factor 4 [Source:MGI Symbol;Acc:MGI:1202880]	22032	ENSMUSG00000017386.10
protein_coding	Aldoc	aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]	11676	ENSMUSG00000017390.15
protein_coding	Stac2	SH3 and cysteine rich domain 2 [Source:MGI Symbol;Acc:MGI:2144518]	217154	ENSMUSG00000017400.10
protein_coding	Rpl19	ribosomal protein L19 [Source:MGI Symbol;Acc:MGI:98020]	19921	ENSMUSG00000017404.12
protein_coding	Nek8	NIMA (never in mitosis gene a)-related expressed kinase 8 [Source:MGI Symbol;Acc:MGI:1890646]	140859	ENSMUSG00000017405.14
protein_coding	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit [Source:MGI Symbol;Acc:MGI:103301]	12298	ENSMUSG00000017412.15
protein_coding	Plxdc1	plexin domain containing 1 [Source:MGI Symbol;Acc:MGI:1919574]	72324	ENSMUSG00000017417.14
protein_coding	Zfp207	zinc finger protein 207 [Source:MGI Symbol;Acc:MGI:1340045]	22680	ENSMUSG00000017421.18
protein_coding	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 [Source:MGI Symbol;Acc:MGI:1916327]	69077	ENSMUSG00000017428.16
protein_coding	C1qtnf1	C1q and tumor necrosis factor related protein 1 [Source:MGI Symbol;Acc:MGI:1919254]	56745	ENSMUSG00000017446.14
protein_coding	Timp2	tissue inhibitor of metalloproteinase 2 [Source:MGI Symbol;Acc:MGI:98753]	21858	ENSMUSG00000017466.9
protein_coding	Zc3h18	zinc finger CCCH-type containing 18 [Source:MGI Symbol;Acc:MGI:1923264]	76014	ENSMUSG00000017478.15
protein_coding	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]	16010	ENSMUSG00000017493.12
protein_coding	Suz12	SUZ12 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:1261758]	52615	ENSMUSG00000017548.15
protein_coding	Atad5	ATPase family, AAA domain containing 5 [Source:MGI Symbol;Acc:MGI:2442925]	237877	ENSMUSG00000017550.14
protein_coding	Crlf3	cytokine receptor-like factor 3 [Source:MGI Symbol;Acc:MGI:1860086]	54394	ENSMUSG00000017561.16
protein_coding	Krt27	keratin 27 [Source:MGI Symbol;Acc:MGI:1339999]	16675	ENSMUSG00000017588.2
protein_coding	Tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:MGI Symbol;Acc:MGI:104961]	21927	ENSMUSG00000017615.12
protein_coding	Rab11fip4	RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920]	268451	ENSMUSG00000017639.13
protein_coding	Slc35c2	solute carrier family 35, member C2 [Source:MGI Symbol;Acc:MGI:2385166]	228875	ENSMUSG00000017664.16
protein_coding	Zfp334	zinc finger protein 334 [Source:MGI Symbol;Acc:MGI:2388656]	228876	ENSMUSG00000017667.9
protein_coding	Elmo2	engulfment and cell motility 2 [Source:MGI Symbol;Acc:MGI:2153045]	140579	ENSMUSG00000017670.16
protein_coding	Wsb1	WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]	78889	ENSMUSG00000017677.11
protein_coding	Ttpal	tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330]	76080	ENSMUSG00000017679.16
protein_coding	Rhbdl3	rhomboid like 3 [Source:MGI Symbol;Acc:MGI:2179276]	246104	ENSMUSG00000017692.8
protein_coding	Serinc3	serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457]	26943	ENSMUSG00000017707.9
protein_coding	Tha1	threonine aldolase 1 [Source:MGI Symbol;Acc:MGI:1919026]	71776	ENSMUSG00000017713.9
protein_coding	Pgs1	phosphatidylglycerophosphate synthase 1 [Source:MGI Symbol;Acc:MGI:1921701]	74451	ENSMUSG00000017715.11
protein_coding	Birc5	baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]	11799	ENSMUSG00000017716.15
protein_coding	Pigt	phosphatidylinositol glycan anchor biosynthesis, class T [Source:MGI Symbol;Acc:MGI:1926178]	78928	ENSMUSG00000017721.15
protein_coding	Wfdc2	WAP four-disulfide core domain 2 [Source:MGI Symbol;Acc:MGI:1914951]	67701	ENSMUSG00000017723.11
protein_coding	Etv4	ets variant 4 [Source:MGI Symbol;Acc:MGI:99423]	18612	ENSMUSG00000017724.14
protein_coding	Dbndd2	dysbindin (dystrobrevin binding protein 1) domain containing 2 [Source:MGI Symbol;Acc:MGI:106562]	52840	ENSMUSG00000017734.15
protein_coding	Mmp9	matrix metallopeptidase 9 [Source:MGI Symbol;Acc:MGI:97011]	17395	ENSMUSG00000017737.2
protein_coding	Ghdc	GH3 domain containing [Source:MGI Symbol;Acc:MGI:1931556]	80860	ENSMUSG00000017747.13
protein_coding	Pltp	phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]	18830	ENSMUSG00000017754.13
protein_coding	Zswim1	zinc finger SWIM-type containing 1 [Source:MGI Symbol;Acc:MGI:1919221]	71971	ENSMUSG00000017764.2
protein_coding	Myo1c	myosin IC [Source:MGI Symbol;Acc:MGI:106612]	17913	ENSMUSG00000017774.19
protein_coding	Crk	v-crk avian sarcoma virus CT10 oncogene homolog [Source:MGI Symbol;Acc:MGI:88508]	12928	ENSMUSG00000017776.15
protein_coding	Cox7c	cytochrome c oxidase subunit 7C [Source:MGI Symbol;Acc:MGI:103226]	12867	ENSMUSG00000017778.14
protein_coding	Pitpna	phosphatidylinositol transfer protein, alpha [Source:MGI Symbol;Acc:MGI:99887]	18738	ENSMUSG00000017781.17
protein_coding	Mlx	MAX-like protein X [Source:MGI Symbol;Acc:MGI:108398]	21428	ENSMUSG00000017801.15
protein_coding	Retreg3	reticulophagy regulator family member 3 [Source:MGI Symbol;Acc:MGI:1915248]	67998	ENSMUSG00000017802.14
protein_coding	Jph2	junctophilin 2 [Source:MGI Symbol;Acc:MGI:1891496]	59091	ENSMUSG00000017817.11
protein_coding	Nkiras2	NFKB inhibitor interacting Ras-like protein 2 [Source:MGI Symbol;Acc:MGI:1919216]	71966	ENSMUSG00000017837.12
protein_coding	Ift52	intraflagellar transport 52 [Source:MGI Symbol;Acc:MGI:2387217]	245866	ENSMUSG00000017858.12
protein_coding	Eya2	EYA transcriptional coactivator and phosphatase 2 [Source:MGI Symbol;Acc:MGI:109341]	14049	ENSMUSG00000017897.18
protein_coding	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1927169]	56336	ENSMUSG00000017929.13
protein_coding	Gdap1l1	ganglioside-induced differentiation-associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2385163]	228858	ENSMUSG00000017943.15
protein_coding	Ptgis	prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]	19223	ENSMUSG00000017969.13
protein_coding	Cadps2	Ca2+-dependent activator protein for secretion 2 [Source:MGI Symbol;Acc:MGI:2443963]	320405	ENSMUSG00000017978.18
protein_coding	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:MGI Symbol;Acc:MGI:2385884]	228889	ENSMUSG00000017999.16
protein_coding	Cyth3	cytohesin 3 [Source:MGI Symbol;Acc:MGI:1335107]	19159	ENSMUSG00000018001.18
protein_coding	Rac3	Rac family small GTPase 3 [Source:MGI Symbol;Acc:MGI:2180784]	170758	ENSMUSG00000018012.11
protein_coding	Rrp7a	ribosomal RNA processing 7 homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1922028]	74778	ENSMUSG00000018040.9
protein_coding	Ints2	integrator complex subunit 2 [Source:MGI Symbol;Acc:MGI:1917672]	70422	ENSMUSG00000018068.13
protein_coding	Med13l	mediator complex subunit 13-like [Source:MGI Symbol;Acc:MGI:2670178]	76199	ENSMUSG00000018076.12
protein_coding	Med1	mediator complex subunit 1 [Source:MGI Symbol;Acc:MGI:1100846]	19014	ENSMUSG00000018160.15
protein_coding	Erbb3	erb-b2 receptor tyrosine kinase 3 [Source:MGI Symbol;Acc:MGI:95411]	13867	ENSMUSG00000018166.8
protein_coding	Stard3	START domain containing 3 [Source:MGI Symbol;Acc:MGI:1929618]	59045	ENSMUSG00000018167.10
protein_coding	Ikzf3	IKAROS family zinc finger 3 [Source:MGI Symbol;Acc:MGI:1342542]	22780	ENSMUSG00000018168.8
protein_coding	Vmp1	vacuole membrane protein 1 [Source:MGI Symbol;Acc:MGI:1923159]	75909	ENSMUSG00000018171.9
protein_coding	Uchl5	ubiquitin carboxyl-terminal esterase L5 [Source:MGI Symbol;Acc:MGI:1914848]	56207	ENSMUSG00000018189.12
protein_coding	Glrx2	glutaredoxin 2 (thioltransferase) [Source:MGI Symbol;Acc:MGI:1916617]	69367	ENSMUSG00000018196.18
protein_coding	Stk4	serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004]	58231	ENSMUSG00000018209.15
protein_coding	Pmp22	peripheral myelin protein 22 [Source:MGI Symbol;Acc:MGI:97631]	18858	ENSMUSG00000018217.12
protein_coding	Zcchc10	zinc finger, CCHC domain containing 10 [Source:MGI Symbol;Acc:MGI:1196228]	67966	ENSMUSG00000018239.9
protein_coding	Psmb6	proteasome (prosome, macropain) subunit, beta type 6 [Source:MGI Symbol;Acc:MGI:104880]	19175	ENSMUSG00000018286.6
protein_coding	Spag7	sperm associated antigen 7 [Source:MGI Symbol;Acc:MGI:107380]	216873	ENSMUSG00000018287.12
protein_coding	Pfn1	profilin 1 [Source:MGI Symbol;Acc:MGI:97549]	18643	ENSMUSG00000018293.4
protein_coding	Tomm34	translocase of outer mitochondrial membrane 34 [Source:MGI Symbol;Acc:MGI:1914395]	67145	ENSMUSG00000018322.10
protein_coding	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Source:MGI Symbol;Acc:MGI:1891917]	54401	ENSMUSG00000018326.9
protein_coding	Gpx3	glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]	14778	ENSMUSG00000018339.11
protein_coding	Anxa6	annexin A6 [Source:MGI Symbol;Acc:MGI:88255]	11749	ENSMUSG00000018340.13
protein_coding	Zkscan6	zinc finger with KRAB and SCAN domains 6 [Source:MGI Symbol;Acc:MGI:1289293]	52712	ENSMUSG00000018347.16
protein_coding	Kpna2	karyopherin (importin) alpha 2 [Source:MGI Symbol;Acc:MGI:103561]	16647	ENSMUSG00000018362.14
protein_coding	Smurf2	SMAD specific E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1913563]	66313	ENSMUSG00000018363.16
protein_coding	Vezf1	vascular endothelial zinc finger 1 [Source:MGI Symbol;Acc:MGI:1313291]	22344	ENSMUSG00000018377.10
protein_coding	Cuedc1	CUE domain containing 1 [Source:MGI Symbol;Acc:MGI:2144281]	103841	ENSMUSG00000018378.13
protein_coding	Srsf1	serine and arginine-rich splicing factor 1 [Source:MGI Symbol;Acc:MGI:98283]	110809	ENSMUSG00000018379.17
protein_coding	Abi3	ABI gene family, member 3 [Source:MGI Symbol;Acc:MGI:1913860]	66610	ENSMUSG00000018381.15
protein_coding	Kif3a	kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689]	16568	ENSMUSG00000018395.19
protein_coding	Septin8	septin 8 [Source:MGI Symbol;Acc:MGI:894310]	20362	ENSMUSG00000018398.18
protein_coding	Mtmr4	myotubularin related protein 4 [Source:MGI Symbol;Acc:MGI:2180699]	170749	ENSMUSG00000018401.17
protein_coding	Mrm1	mitochondrial rRNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443470]	217038	ENSMUSG00000018405.7
protein_coding	Mapt	microtubule-associated protein tau [Source:MGI Symbol;Acc:MGI:97180]	17762	ENSMUSG00000018411.17
protein_coding	Kansl1	KAT8 regulatory NSL complex subunit 1 [Source:MGI Symbol;Acc:MGI:1923969]	76719	ENSMUSG00000018412.16
protein_coding	Gid4	GID complex subunit 4, VID24 homolog [Source:MGI Symbol;Acc:MGI:1914021]	66771	ENSMUSG00000018415.14
protein_coding	Myo1b	myosin IB [Source:MGI Symbol;Acc:MGI:107752]	17912	ENSMUSG00000018417.14
protein_coding	Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:MGI Symbol;Acc:MGI:1914737]	67487	ENSMUSG00000018425.18
protein_coding	Akap1	A kinase (PRKA) anchor protein 1 [Source:MGI Symbol;Acc:MGI:104729]	11640	ENSMUSG00000018428.15
protein_coding	Nol11	nucleolar protein 11 [Source:MGI Symbol;Acc:MGI:1916229]	68979	ENSMUSG00000018433.14
protein_coding	Derl2	Der1-like domain family, member 2 [Source:MGI Symbol;Acc:MGI:2151483]	116891	ENSMUSG00000018442.13
protein_coding	C1qbp	complement component 1, q subcomponent binding protein [Source:MGI Symbol;Acc:MGI:1194505]	12261	ENSMUSG00000018446.8
protein_coding	Rpain	RPA interacting protein [Source:MGI Symbol;Acc:MGI:1916973]	69723	ENSMUSG00000018449.12
protein_coding	Kdm6b	KDM1 lysine (K)-specific demethylase 6B [Source:MGI Symbol;Acc:MGI:2448492]	216850	ENSMUSG00000018476.7
protein_coding	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2 [Source:MGI Symbol;Acc:MGI:1914134]	66884	ENSMUSG00000018481.9
protein_coding	Ncor1	nuclear receptor co-repressor 1 [Source:MGI Symbol;Acc:MGI:1349717]	20185	ENSMUSG00000018501.17
protein_coding	Trpv2	transient receptor potential cation channel, subfamily V, member 2 [Source:MGI Symbol;Acc:MGI:1341836]	22368	ENSMUSG00000018507.16
protein_coding	Cenpv	centromere protein V [Source:MGI Symbol;Acc:MGI:1920389]	73139	ENSMUSG00000018509.8
protein_coding	Pcgf2	polycomb group ring finger 2 [Source:MGI Symbol;Acc:MGI:99161]	22658	ENSMUSG00000018537.16
protein_coding	Cwc25	CWC25 spliceosome-associated protein [Source:MGI Symbol;Acc:MGI:1914730]	67480	ENSMUSG00000018541.10
protein_coding	Pip4k2b	phosphatidylinositol-5-phosphate 4-kinase, type II, beta [Source:MGI Symbol;Acc:MGI:1934234]	108083	ENSMUSG00000018547.8
protein_coding	Trim37	tripartite motif-containing 37 [Source:MGI Symbol;Acc:MGI:2153072]	68729	ENSMUSG00000018548.15
protein_coding	Ctdnep1	CTD nuclear envelope phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914431]	67181	ENSMUSG00000018559.16
protein_coding	Elp5	elongator acetyltransferase complex subunit 5 [Source:MGI Symbol;Acc:MGI:1859017]	54351	ENSMUSG00000018565.17
protein_coding	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4 [Source:MGI Symbol;Acc:MGI:95758]	20528	ENSMUSG00000018566.14
protein_coding	Gabarap	gamma-aminobutyric acid receptor associated protein [Source:MGI Symbol;Acc:MGI:1861742]	56486	ENSMUSG00000018567.14
protein_coding	Phf23	PHD finger protein 23 [Source:MGI Symbol;Acc:MGI:1925496]	78246	ENSMUSG00000018572.10
protein_coding	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain [Source:MGI Symbol;Acc:MGI:895149]	11370	ENSMUSG00000018574.14
protein_coding	G3bp1	GTPase activating protein (SH3 domain) binding protein 1 [Source:MGI Symbol;Acc:MGI:1351465]	27041	ENSMUSG00000018583.5
protein_coding	Atox1	antioxidant 1 copper chaperone [Source:MGI Symbol;Acc:MGI:1333855]	11927	ENSMUSG00000018585.9
protein_coding	Tbx3	T-box 3 [Source:MGI Symbol;Acc:MGI:98495]	21386	ENSMUSG00000018604.18
protein_coding	Dusp14	dual specificity phosphatase 14 [Source:MGI Symbol;Acc:MGI:1927168]	56405	ENSMUSG00000018648.15
protein_coding	Tada2a	transcriptional adaptor 2A [Source:MGI Symbol;Acc:MGI:2144471]	217031	ENSMUSG00000018651.14
protein_coding	Ikzf1	IKAROS family zinc finger 1 [Source:MGI Symbol;Acc:MGI:1342540]	22778	ENSMUSG00000018654.17
protein_coding	Pnpo	pyridoxine 5'-phosphate oxidase [Source:MGI Symbol;Acc:MGI:2144151]	103711	ENSMUSG00000018659.12
protein_coding	Cog1	component of oligomeric golgi complex 1 [Source:MGI Symbol;Acc:MGI:1333873]	16834	ENSMUSG00000018661.17
protein_coding	Cbx1	chromobox 1 [Source:MGI Symbol;Acc:MGI:105369]	12412	ENSMUSG00000018666.13
protein_coding	Cdk5rap3	CDK5 regulatory subunit associated protein 3 [Source:MGI Symbol;Acc:MGI:1933126]	80280	ENSMUSG00000018669.14
protein_coding	Slc25a39	solute carrier family 25, member 39 [Source:MGI Symbol;Acc:MGI:1196386]	68066	ENSMUSG00000018677.9
protein_coding	Sp2	Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162]	78912	ENSMUSG00000018678.13
protein_coding	Aatf	apoptosis antagonizing transcription factor [Source:MGI Symbol;Acc:MGI:1929608]	56321	ENSMUSG00000018697.14
protein_coding	Dync1h1	dynein cytoplasmic 1 heavy chain 1 [Source:MGI Symbol;Acc:MGI:103147]	13424	ENSMUSG00000018707.13
protein_coding	Ndel1	nudE neurodevelopment protein 1 like 1 [Source:MGI Symbol;Acc:MGI:1932915]	83431	ENSMUSG00000018736.14
protein_coding	Zbtb4	zinc finger and BTB domain containing 4 [Source:MGI Symbol;Acc:MGI:1922830]	75580	ENSMUSG00000018750.14
protein_coding	Mpdu1	mannose-P-dolichol utilization defect 1 [Source:MGI Symbol;Acc:MGI:1346040]	24070	ENSMUSG00000018761.14
protein_coding	Fxr2	fragile X mental retardation, autosomal homolog 2 [Source:MGI Symbol;Acc:MGI:1346074]	23879	ENSMUSG00000018765.5
protein_coding	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9) [Source:MGI Symbol;Acc:MGI:2442035]	228033	ENSMUSG00000018770.9
protein_coding	Acsl1	acyl-CoA synthetase long-chain family member 1 [Source:MGI Symbol;Acc:MGI:102797]	14081	ENSMUSG00000018796.13
protein_coding	Abca5	ATP-binding cassette, sub-family A (ABC1), member 5 [Source:MGI Symbol;Acc:MGI:2386607]	217265	ENSMUSG00000018800.14
protein_coding	Smyd4	SET and MYND domain containing 4 [Source:MGI Symbol;Acc:MGI:2442796]	319822	ENSMUSG00000018809.2
protein_coding	Lsp1	lymphocyte specific 1 [Source:MGI Symbol;Acc:MGI:96832]	16985	ENSMUSG00000018819.10
protein_coding	Zfyve27	zinc finger, FYVE domain containing 27 [Source:MGI Symbol;Acc:MGI:1919602]	319740	ENSMUSG00000018820.13
protein_coding	Avpi1	arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]	69534	ENSMUSG00000018821.3
protein_coding	Sfrp5	secreted frizzled-related sequence protein 5 [Source:MGI Symbol;Acc:MGI:1860298]	54612	ENSMUSG00000018822.7
protein_coding	Rad51d	RAD51 paralog D [Source:MGI Symbol;Acc:MGI:1261809]	19364	ENSMUSG00000018841.17
protein_coding	Pank3	pantothenate kinase 3 [Source:MGI Symbol;Acc:MGI:2387464]	211347	ENSMUSG00000018846.8
protein_coding	Rars	arginyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1914297]	104458	ENSMUSG00000018848.4
protein_coding	Wwc1	WW, C2 and coiled-coil domain containing 1 [Source:MGI Symbol;Acc:MGI:2388637]	211652	ENSMUSG00000018849.6
protein_coding	Mrpl58	mitochondrial ribosomal protein L58 [Source:MGI Symbol;Acc:MGI:1915822]	68572	ENSMUSG00000018858.15
protein_coding	Fdxr	ferredoxin reductase [Source:MGI Symbol;Acc:MGI:104724]	14149	ENSMUSG00000018861.8
protein_coding	Mrpl45	mitochondrial ribosomal protein L45 [Source:MGI Symbol;Acc:MGI:1914286]	67036	ENSMUSG00000018882.12
protein_coding	Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	16362	ENSMUSG00000018899.16
protein_coding	P4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]	18452	ENSMUSG00000018906.14
protein_coding	Arrb1	arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]	109689	ENSMUSG00000018909.15
protein_coding	Cxcl16	chemokine (C-X-C motif) ligand 16 [Source:MGI Symbol;Acc:MGI:1932682]	66102	ENSMUSG00000018920.11
protein_coding	Pelp1	proline, glutamic acid and leucine rich protein 1 [Source:MGI Symbol;Acc:MGI:1922523]	75273	ENSMUSG00000018921.11
protein_coding	Med11	mediator complex subunit 11 [Source:MGI Symbol;Acc:MGI:1913422]	66172	ENSMUSG00000018923.13
protein_coding	Natd1	N-acetyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:1344388]	24083	ENSMUSG00000018931.3
protein_coding	Map2k3	mitogen-activated protein kinase kinase 3 [Source:MGI Symbol;Acc:MGI:1346868]	26397	ENSMUSG00000018932.9
protein_coding	Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide [Source:MGI Symbol;Acc:MGI:109194]	22629	ENSMUSG00000018965.11
protein_coding	Sart3	squamous cell carcinoma antigen recognized by T cells 3 [Source:MGI Symbol;Acc:MGI:1858230]	53890	ENSMUSG00000018974.7
protein_coding	E2f2	E2F transcription factor 2 [Source:MGI Symbol;Acc:MGI:1096341]	242705	ENSMUSG00000018983.9
protein_coding	Nars2	asparaginyl-tRNA synthetase 2 (mitochondrial)(putative) [Source:MGI Symbol;Acc:MGI:2142075]	244141	ENSMUSG00000018995.12
protein_coding	Slc35b4	solute carrier family 35, member B4 [Source:MGI Symbol;Acc:MGI:1931249]	58246	ENSMUSG00000018999.14
protein_coding	Fis1	fission, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:1913687]	66437	ENSMUSG00000019054.13
protein_coding	Plod1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:99907]	18822	ENSMUSG00000019055.15
protein_coding	Rab3d	RAB3D, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:97844]	19340	ENSMUSG00000019066.13
protein_coding	Slc25a22	solute carrier family 25 (mitochondrial carrier, glutamate), member 22 [Source:MGI Symbol;Acc:MGI:1915517]	68267	ENSMUSG00000019082.18
protein_coding	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1 [Source:MGI Symbol;Acc:MGI:109629]	54411	ENSMUSG00000019087.13
protein_coding	Scrn1	secernin 1 [Source:MGI Symbol;Acc:MGI:1917188]	69938	ENSMUSG00000019124.10
protein_coding	Hars2	histidyl-tRNA synthetase 2 [Source:MGI Symbol;Acc:MGI:1918041]	70791	ENSMUSG00000019143.15
protein_coding	Cacng2	calcium channel, voltage-dependent, gamma subunit 2 [Source:MGI Symbol;Acc:MGI:1316660]	12300	ENSMUSG00000019146.2
protein_coding	Tmem160	transmembrane protein 160 [Source:MGI Symbol;Acc:MGI:1916344]	69094	ENSMUSG00000019158.9
protein_coding	Rab5c	RAB5C, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105306]	19345	ENSMUSG00000019173.11
protein_coding	Mdh2	malate dehydrogenase 2, NAD (mitochondrial) [Source:MGI Symbol;Acc:MGI:97050]	17448	ENSMUSG00000019179.10
